"Species_name" "Taxonomic_order" "Taxonomic_family" "Taxonomic_genus" "Mean_adult_body_mass_g" "Mean_neonate_body_neonate_body_mass_g" "Mean_home_range_size_km2" "Mean_population_density_ind_km2" "Mean_group_size" "Mean_litter_per_year" "Mean_interbirth_interval" "Mean_weaning_age_d" "Mean_sexual_maturity_age_d" "Mean_litter_size" "Mean_gestation_length_d" "SD_adult_body_mass_g" "SD_neonate_body_neonate_body_mass_g" "SD_home_range_size_km2" "SD_population_density_ind_km2" "SD_group_size" "SD_litter_per_year" "SD_interbirth_interval" "SD_weaning_age_d" "SD_sexual_maturity_age_d" "SD_litter_size" "SD_gestation_length_d"
"Tachyglossus_aculeatus" "Monotremata" "Tachyglossidae" "Tachyglossus" 4020.767 0.379 0.999111667 NA 1 NA 1003.75 154.818 547.5 1.01 28.375 1218.292401 0 0.792241900633594 NA 0 NA 473.77 67.810284 163.155 0.01414 4.1995
"Ornithorhynchus_anatinus" "Monotremata" "Ornithorhynchidae" "Ornithorhynchus" 1458.208 NA 0.112 NA NA NA NA 120 593.125 2.071 15 180.817792 NA 0.042999999952 NA NA NA NA 12.24 151.246875 0.173964 2.16
"Ondatra_zibethicus" "Rodentia" "Cricetidae" "Ondatra" 1135.014 22.255 0.00445 NA NA 2.586 30.3 29.8 213.571 6.11 27.1 388.174788 2.470305 0 NA NA 1.011126 2.0907 10.877 102.727651 1.42363 3.3333
"Mesocricetus_auratus" "Rodentia" "Cricetidae" "Mesocricetus" 97.125 2.447 NA NA NA 4.5 NA 15.25 43.4 8.6 15.5 12.529125 0.389073 NA NA NA 1.08 NA 7.24375 18.0544 2.0898 0.496
"Castor_canadensis" "Rodentia" "Castoridae" "Castor" 18085.634 419.075 NA NA 5.711 1 NA 45.8 698.333 3.732 110 2875.615806 65.794775 NA NA 1.439172 0 NA 10.5798 140.364933 1.086012 13.09
"Chinchilla_lanigera" "Rodentia" "Chinchillidae" "Chinchilla" 452.575 39 NA NA NA NA NA NA NA 1.784 NA 40.73175 2.145 NA NA NA NA NA NA NA 0.738576 NA
"Hystrix_brachyura" "Rodentia" "Hystricidae" "Hystrix" 9216.667 383.667 NA NA NA NA NA NA NA 1.5 114.25 1723.516729 86.708742 NA NA NA NA NA NA NA 0.4995 6.28375
"Myocastor_coypus" "Rodentia" "Myocastoridae" "Myocastor" 6135.768 201.385 0.0376 500.625 NA 2.48 130.5 42.689 194.938 5.133 131.737 546.083352 33.02714 0.0156771170728 480.099375 NA 0.2728 1.827 24.418108 88.306914 0.734019 3.425162
"Marmota_bobak" "Rodentia" "Sciuridae" "Marmota" NA NA NA NA NA 0.833 NA NA 1095 4.833 40.5 NA NA NA NA NA 0.235739 NA NA 297.84 0.473634 0.486
"Marmota_monax" "Rodentia" "Sciuridae" "Marmota" 3747.182 27.325 0.033358182 148 NA 1 NA 41.464 456.25 4.357 31.6 528.352662 2.24065 0.0429751974934065 107.744 NA 0 NA 8.375728 157.8625 1.228674 2.2752
"Tamias_townsendii" "Rodentia" "Sciuridae" "Tamias" 81.71 3.61 NA 240.8 NA 1 NA 44.5 NA 4.375 NA 10.6223 0.16245 NA 166.8744 NA 0 NA 5.785 NA 0.28 NA
"Atlantoxerus_getulus" "Rodentia" "Sciuridae" "Atlantoxerus" 251 NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA
"Tamiasciurus_hudsonicus" "Rodentia" "Sciuridae" "Tamiasciurus" 209.452 7.1 0.011735714 165.643 NA 1.567 NA 53.643 340 4.107 35.724 23.668076 0.5041 0.00720905733689753 54.827833 NA 0.601728 NA 16.682973 22.44 0.726939 3.072264
"Sciurus_carolinensis" "Rodentia" "Sciuridae" "Sciurus" 538.715 15.575 0.027005556 545.875 NA 1.906 NA 64.045 325.953 3.271 44.1 49.023065 0.856625 0.0470267717776773 445.979875 NA 0.263028 NA 8.9663 85.725639 1.619145 0.2205
"Sciurus_niger" "Rodentia" "Sciuridae" "Sciurus" NA NA 0.2975 NA NA NA NA NA NA NA NA NA NA 0.130499999945 NA NA NA NA NA NA NA NA
"Sciurus_aureogaster" "Rodentia" "Sciuridae" "Sciurus" 472.5 NA 0.016 202.75 NA NA NA NA NA 1.75 NA 122.3775 NA 0.007 44.1995 NA NA NA NA NA 0.25025 NA
"Sciurus_vulgaris" "Rodentia" "Sciuridae" "Sciurus" 649.843 12.577 0.081888261 165.25 NA 1.882 NA 60.813 345.104 3.898 40.545 223.545992 3.345482 0.144952696625018 234.9855 NA 0.653054 NA 13.622112 44.86352 1.59818 3.64905
"Glis_glis" "Rodentia" "Gliridae" "Glis" 146 NA 0.00305 NA NA 1.063 NA 27.2 336.667 4.543 27.75 21.17 NA 0.0025500000007 NA NA 0.165828 NA 4.624 20.873354 0.931315 2.74725
"Lepus_arcticus" "Lagomorpha" "Leporidae" "Lepus" 4166.869 NA 18.950005 NA NA 1.5 NA NA NA 4.9 52 145.840415 NA 16.0499950022261 NA NA 0.633 NA NA NA 0.9212 0.988
"Lepus_timidus" "Lagomorpha" "Leporidae" "Lepus" 3048.556 122.55 1.009 NA NA 2.75 NA NA NA 3.25 50.133 408.506504 39.7062 0.119999999697 NA NA 0.25025 NA NA NA 0.25025 0.100266
"Lepus_europaeus" "Lagomorpha" "Leporidae" "Lepus" 3934.287 123.875 1.124155 NA NA 4.4 NA NA 202.5 2.329 41.2 605.880198 5.078875 1.25922130369121 NA NA 0.4004 NA NA 22.4775 0.703358 1.6068
"Oryctolagus_cuniculus" "Lagomorpha" "Leporidae" "Oryctolagus" 1631.001 39.672 NA 3470.333 NA 4.53 NA 24.429 173.182 5.485 30.684 505.61031 5.435064 NA 4619.013223 NA 1.12344 NA 3.859782 44.507774 1.453525 1.411464
"Macaca_arctoides" "Primates" "Cercopithecidae" "Macaca" 9525.852 486.714 NA NA NA NA 556.644 344.833 1355.236 1 179.273 2410.040556 15.574848 NA NA NA NA 27.8322 66.897602 193.798748 0 8.96365
"Macaca_mulatta" "Primates" "Cercopithecidae" "Macaca" 6879.768 474.373 NA 31.14 40.975 NA 412.909 248.286 1115.439 1.001 164.114 1871.296896 27.513634 NA 33.97374 8.11305 NA 84.233436 107.011266 297.822213 0.003003 6.892788
"Macaca_fascicularis" "Primates" "Cercopithecidae" "Macaca" 4390.894 331.356 NA 38.88 26.017 NA 408.579 282.159 1342.925 1 164.593 684.979464 33.466956 NA 17.6904 5.72374 NA 25.740477 119.917575 193.3812 0 5.102383
"Daubentonia_madagascariensis" "Primates" "Daubentoniidae" "Daubentonia" 2634.074 124.5 0.289375 NA 1 NA 808.333 258.333 816.25 1 165.75 213.359994 22.5345 0.37926275120875 NA 0 NA 147.116606 111.341523 96.3175 0 5.304
"Gazella_subgutturosa" "Artiodactyla" "Bovidae" "Gazella" 25488.889 2342 NA 1.134 8.833 NA NA 83 512.083 1.456 156.91 5582.066691 320.854 NA 0.982044 8.108694 NA NA 53.701 253.481085 0.250432 6.2764
"Saiga_tatarica" "Artiodactyla" "Bovidae" "Saiga" 37311.111 3416.5 NA 0.8 26.25 NA 365 54.364 404.875 1.754 147.556 7872.644421 157.159 NA 0 11.26125 NA 0 43.056288 223.086125 0.33326 5.016904
"Ovis_ammon" "Artiodactyla" "Bovidae" "Ovis" 118399.873 3387.5 NA NA NA NA 365 71 538.125 1.286 163.389 38124.759106 1012.8625 NA NA NA NA 0 50.481 305.655 0.246912 19.279902
